,reviews,rating,remove_lower_punct,tokenise,changed,lemmatise
101,"head and shoulders above its neighboors on east 6 st, taj mahal is also very comparable, in food quality, to the much overpraised (and underdeserving) baluchi's.",0,head and shoulders above its neighboors on east 6 st  taj mahal is also very comparable  in food quality  to the much overpraised (and underdeserving) baluchi's,"['head', 'and', 'shoulders', 'above', 'its', 'neighboors', 'on', 'east', '6', 'st', 'taj', 'mahal', 'is', 'also', 'very', 'comparable', 'in', 'food', 'quality', 'to', 'the', 'much', 'overpraised', '(and', 'underdeserving)', ""baluchi's""]",head and shoulder neighboors east 6 st taj mahal also very comparable food quality much overpraised (and underdeserving) baluchi's,head and shoulder neighboors east 6 st taj mahal also very comparable food quality much overpraised (and underdeserving) baluchi's
102,"The man that was hosting promised to save a table for our party of 7, then sat a party of 2 at the very table he was saving (mean while there were boths open all around).",0,the man that was hosting promised to save a table for our party of 7  then sat a party of 2 at the very table he was saving (mean while there were boths open all around),"['the', 'man', 'that', 'was', 'hosting', 'promised', 'to', 'save', 'a', 'table', 'for', 'our', 'party', 'of', '7', 'then', 'sat', 'a', 'party', 'of', '2', 'at', 'the', 'very', 'table', 'he', 'was', 'saving', '(mean', 'while', 'there', 'were', 'boths', 'open', 'all', 'around)']",man hosting promised save table party 7 sat party 2 very table saving (mean boths open around),man hosting promised save table party 7 sat party 2 very table saving (mean boths open around)
103,As we were sitting eating the subpar food the manager proceeded to berate a couple of his employees for putting out the wrong containers for condiments and explained to them how expensive these containers were.,0,as we were sitting eating the subpar food the manager proceeded to berate a couple of his employees for putting out the wrong containers for condiments and explained to them how expensive these containers were,"['as', 'we', 'were', 'sitting', 'eating', 'the', 'subpar', 'food', 'the', 'manager', 'proceeded', 'to', 'berate', 'a', 'couple', 'of', 'his', 'employees', 'for', 'putting', 'out', 'the', 'wrong', 'containers', 'for', 'condiments', 'and', 'explained', 'to', 'them', 'how', 'expensive', 'these', 'containers', 'were']",sitting eating subpar food manager proceeded berate couple employee putting wrong container condiment and explained expensive container,sitting eating subpar food manager proceeded berate couple employee putting wrong container condiment and explained expensive container
104,"David, Daytona Beach, FL a must visit ",0,david  daytona beach  fl a must visit,"['david', 'daytona', 'beach', 'fl', 'a', 'must', 'visit']",david daytona beach fl must visit,david daytona beach fl must visit
105,We ordered a tuna melt - it came without cheese which just made it a tuna sandwich.,0,we ordered a tuna melt - it came without cheese which just made it a tuna sandwich,"['we', 'ordered', 'a', 'tuna', 'melt', '-', 'it', 'came', 'without', 'cheese', 'which', 'just', 'made', 'it', 'a', 'tuna', 'sandwich']",ordered tuna melt - came without cheese made tuna sandwich,ordered tuna melt - came without cheese made tuna sandwich
106,The waiters were not attentive except that the bill turned up on the table before we were finished.,0,the waiters were not attentive except that the bill turned up on the table before we were finished,"['the', 'waiters', 'were', 'not', 'attentive', 'except', 'that', 'the', 'bill', 'turned', 'up', 'on', 'the', 'table', 'before', 'we', 'were', 'finished']",waiter not attentive except bill turned table finished,waiter not attentive except bill turned table finished
107,We generally like good restaurants and eat out often but Kai was way to expensive for what we got.,0,we generally like good restaurants and eat out often but kai was way to expensive for what we got,"['we', 'generally', 'like', 'good', 'restaurants', 'and', 'eat', 'out', 'often', 'but', 'kai', 'was', 'way', 'to', 'expensive', 'for', 'what', 'we', 'got']",generally like good restaurant and eat often but kai way expensive got,generally like good restaurant and eat often but kai way expensive got
108,Don't eat here unless you're starving for thai food and you work next door.,0,don't eat here unless you're starving for thai food and you work next door,"[""don't"", 'eat', 'here', 'unless', ""you're"", 'starving', 'for', 'thai', 'food', 'and', 'you', 'work', 'next', 'door']",not eat unless starving thai food and work next door,not eat unless starving thai food and work next door
109,"For the people who want great food plus great service, Roxy is a place to AVOID!",0,for the people who want great food plus great service  roxy is a place to avoid,"['for', 'the', 'people', 'who', 'want', 'great', 'food', 'plus', 'great', 'service', 'roxy', 'is', 'a', 'place', 'to', 'avoid']",people want great food plus great service roxy place avoid,people want great food plus great service roxy place avoid
110,"Quite frankly, this is some of the worst sushi I have ever tried.",0,quite frankly  this is some of the worst sushi i have ever tried,"['quite', 'frankly', 'this', 'is', 'some', 'of', 'the', 'worst', 'sushi', 'i', 'have', 'ever', 'tried']",quite frankly worst sushi ever tried,quite frankly worst sushi ever tried
111,"The overall price tag was very very expensive, something I did expect.",0,the overall price tag was very very expensive  something i did expect,"['the', 'overall', 'price', 'tag', 'was', 'very', 'very', 'expensive', 'something', 'i', 'did', 'expect']",overall price tag very very expensive something expect,overall price tag very very expensive something expect
112,Even after they overcharged me the last time I was there.,0,even after they overcharged me the last time i was there,"['even', 'after', 'they', 'overcharged', 'me', 'the', 'last', 'time', 'i', 'was', 'there']",even overcharged last time,even overcharged last time
113,Fish was overdone.,0,fish was overdone,"['fish', 'was', 'overdone']",fish overdone,fish overdone
114,also make sure you pay attention to the music being piped in - quite a weird selection.,0,also make sure you pay attention to the music being piped in - quite a weird selection,"['also', 'make', 'sure', 'you', 'pay', 'attention', 'to', 'the', 'music', 'being', 'piped', 'in', '-', 'quite', 'a', 'weird', 'selection']",also make sure pay attention music piped - quite weird selection,also make sure pay attention music piped - quite weird selection
115,You could get a much better dining experience for the same amount of money in a lot of other French Bistros.,0,you could get a much better dining experience for the same amount of money in a lot of other french bistros,"['you', 'could', 'get', 'a', 'much', 'better', 'dining', 'experience', 'for', 'the', 'same', 'amount', 'of', 'money', 'in', 'a', 'lot', 'of', 'other', 'french', 'bistros']",could get much better dining experience amount money lot french bistro,could get much better dining experience amount money lot french bistro
116,Surprisingly nothing could be further from the truth.,0,surprisingly nothing could be further from the truth,"['surprisingly', 'nothing', 'could', 'be', 'further', 'from', 'the', 'truth']",surprisingly nothing could truth,surprisingly nothing could truth
117,It's better than being on the roof of Sutton Place with 19 year old interns jabbing you in the ribs all night.,0,it's better than being on the roof of sutton place with 19 year old interns jabbing you in the ribs all night,"[""it's"", 'better', 'than', 'being', 'on', 'the', 'roof', 'of', 'sutton', 'place', 'with', '19', 'year', 'old', 'interns', 'jabbing', 'you', 'in', 'the', 'ribs', 'all', 'night']",better roof sutton place 19 year old intern jabbing rib night,better roof sutton place 19 year old intern jabbing rib night
118,All we received was an apology as we left to see our show without dinner.,0,all we received was an apology as we left to see our show without dinner,"['all', 'we', 'received', 'was', 'an', 'apology', 'as', 'we', 'left', 'to', 'see', 'our', 'show', 'without', 'dinner']",received apology left see show without dinner,received apology left see show without dinner
119,The table next to us asked if he crushed the grapes himself when their long overdue bottle of wine finally arrived.,0,the table next to us asked if he crushed the grapes himself when their long overdue bottle of wine finally arrived,"['the', 'table', 'next', 'to', 'us', 'asked', 'if', 'he', 'crushed', 'the', 'grapes', 'himself', 'when', 'their', 'long', 'overdue', 'bottle', 'of', 'wine', 'finally', 'arrived']",table next u asked crushed grape long overdue bottle wine finally arrived,table next u asked crushed grape long overdue bottle wine finally arrived
120,"We could not catch our waiter's eye, and he ignored us.",0,we could not catch our waiter's eye  and he ignored us,"['we', 'could', 'not', 'catch', 'our', ""waiter's"", 'eye', 'and', 'he', 'ignored', 'us']",could not catch waiter's eye and ignored u,could not catch waiter's eye and ignored u
121,Plain and simple it's bad thai food.,0,plain and simple it's bad thai food,"['plain', 'and', 'simple', ""it's"", 'bad', 'thai', 'food']",plain and simple bad thai food,plain and simple bad thai food
122,They refuse to seat parties of 3 or more on weekends.,0,they refuse to seat parties of 3 or more on weekends,"['they', 'refuse', 'to', 'seat', 'parties', 'of', '3', 'or', 'more', 'on', 'weekends']",refuse seat party 3 weekend,refuse seat party 3 weekend
123,"The waitress, seems to be more concerned of looking good than actually waitressing.",0,the waitress  seems to be more concerned of looking good than actually waitressing,"['the', 'waitress', 'seems', 'to', 'be', 'more', 'concerned', 'of', 'looking', 'good', 'than', 'actually', 'waitressing']",waitress seems concerned looking good actually waitressing,waitress seems concerned looking good actually waitressing
124,What a disaster,0,what a disaster,"['what', 'a', 'disaster']",disaster,disaster
125,Threw my fiance's surprise 30th birthday dinner here couldn't be happier.,0,threw my fiance's surprise 30th birthday dinner here couldn't be happier,"['threw', 'my', ""fiance's"", 'surprise', '30th', 'birthday', 'dinner', 'here', ""couldn't"", 'be', 'happier']",threw fiance's surprise 30th birthday dinner could not happier,threw fiance's surprise 30th birthday dinner could not happier
